checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2453698573 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3423 duration=150s sample=15s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 00:20:06.672 T:60600 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,3,VRF_UUID:f864e51f-e571-704f-92e4-108201ec1049,NaN,-90.000000,NaN
# t=3s reflected=2 readable=1
POS,18.1,VRF_UUID:066da99c-e3aa-6347-9b91-818f277fd534,34.648810,-116.693433,1116.7
POS,18.1,VRF_UUID:0edb75e1-1bd0-834b-bc2b-4c8bb24d70cb,0.000000,0.000000,-6378137.0
POS,18.1,VRF_UUID:197760d7-c351-ea4a-9685-f9fba6175134,0.000000,0.000000,-6378137.0
POS,18.1,VRF_UUID:1bae1d49-db00-a149-b198-0b2929d6b7b1,34.645263,-116.693115,1116.4
POS,18.1,VRF_UUID:1dd6c55c-7b0d-5f47-8ed1-3e562403eb7d,34.612933,-116.600596,1040.7
POS,18.1,VRF_UUID:202e4d82-aefc-f147-a9d6-9b52a62d9075,34.647652,-116.693415,1116.7
POS,18.1,VRF_UUID:22225185-77b1-0a4c-b2f4-f71a4522c685,90.000000,-90.000000,0.0
POS,18.1,VRF_UUID:23912c72-3733-af48-8590-ef4f7dc14e1f,34.647606,-116.693360,1116.6
POS,18.1,VRF_UUID:26ad555b-dc31-334e-95b3-ade9caf303f9,34.612978,-116.600541,1040.7
POS,18.1,VRF_UUID:2dc418e9-3d9b-2b46-8166-a5ee50de692b,0.000000,0.000000,-6378137.0
POS,18.1,VRF_UUID:33fbf39d-b8de-f742-8844-788b24a0135a,34.646885,-116.693115,1116.4
POS,18.1,VRF_UUID:354ca3b4-080d-5146-9a67-4f6accbea97b,90.000000,-90.000000,0.0
POS,18.1,VRF_UUID:3b0ad037-867d-9844-bcf2-1d9e401a77c3,34.647652,-116.693415,1116.7
POS,18.1,VRF_UUID:3ba4a78e-0da2-fe41-955d-bff8b130d383,34.644362,-116.693115,1116.4
POS,18.1,VRF_UUID:42f43b0f-af30-0943-87f3-53d354ebf328,34.650986,-116.693660,1116.9
POS,18.1,VRF_UUID:484f4b65-dbec-ea4a-97a1-71a49af425be,34.650536,-116.694206,1117.3
