checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2427792684 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3433 duration=90s sample=15s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 13:42:40.232 T:65716 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,3.1,VRF_UUID:000669a1-c872-084a-b405-d2744f08cce9,34.273521,-116.447256,1088.9
POS,3.1,VRF_UUID:001bf4c0-4ad5-534c-88a4-b374ab17ccd2,34.676718,-116.724526,1137.1
POS,3.1,VRF_UUID:00432678-4b47-904d-b104-508fde292a9b,34.361551,-116.459441,966.0
POS,3.1,VRF_UUID:006726f7-e7a9-4642-acae-9f9eb2d2db7b,34.682892,-116.724526,1136.7
POS,3.1,VRF_UUID:0086a085-3d63-c95c-85c7-fdf0a82dd1f6,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:00a1dcd5-311f-c643-9118-5e54965ae1a0,34.419609,-116.587639,929.7
POS,3.1,VRF_UUID:0139a989-552e-9244-8b41-7b714494fb0e,34.677619,-116.724526,1137.0
POS,3.1,VRF_UUID:01662a6f-8629-0247-8203-afd63e281b27,34.493427,-116.823884,941.8
POS,3.1,VRF_UUID:017d2e8a-cde6-2f4f-b60a-90e906c3dad1,34.683342,-116.725071,1137.0
POS,3.1,VRF_UUID:01dde300-ff59-6144-becb-c1977ec8c825,34.679016,-116.724799,1137.1
POS,3.1,VRF_UUID:01f591b9-342c-2240-8fcc-47fb7f0c05d2,34.681089,-116.724896,1137.1
POS,3.1,VRF_UUID:0216b9c5-07d2-0048-bd91-da72d0eadc5e,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:026a701d-dba6-7c4f-8f10-61c1ceb3418b,34.474716,-116.557352,877.9
POS,3.1,VRF_UUID:026b7c65-be7e-6950-a63a-c7e0f6843ada,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:02c8192b-b0a8-ee4e-bf45-d7c367bfe5f4,34.336835,-116.391184,876.3
POS,3.1,VRF_UUID:02d49b05-056c-2f48-ab65-0b809d14086a,34.422737,-116.536011,936.6
POS,3.1,VRF_UUID:02d4cb0b-df1c-5740-a41b-46c1019219bd,34.374578,-116.701791,1194.4
POS,3.1,VRF_UUID:030b35f5-c18b-ee40-ab02-5deb9abfa551,34.389100,-116.693619,1134.3
POS,3.1,VRF_UUID:0319b10a-5579-034c-8952-b0550ab94723,34.681089,-116.724809,1137.0
POS,3.1,VRF_UUID:031fcabf-a55b-e24c-8e71-d14d7fd6707d,34.681089,-116.724695,1136.9
POS,3.1,VRF_UUID:03570f89-969c-ca46-88ac-ff1ff3b363a8,34.679241,-116.724526,1136.9
POS,3.1,VRF_UUID:03721ed8-2beb-7541-b83e-3a779b6f71b3,34.677168,-116.725071,1137.4
POS,3.1,VRF_UUID:03c74793-6f2f-1e45-8ffa-fb1c86d90e7b,34.682441,-116.723980,1136.4
POS,3.1,VRF_UUID:041fe532-a3cf-6c46-9eaf-7592c157013f,34.385179,-116.694047,1147.3
POS,3.1,VRF_UUID:04869e72-130b-0944-b3e1-c52a2eb99a38,34.681089,-116.725000,1137.1
POS,3.1,VRF_UUID:04b57ccf-5080-6446-8e6d-1979f828630d,34.451210,-116.816336,1006.2
POS,3.1,VRF_UUID:04d0b36c-4335-314f-939e-a487a1a37641,34.433783,-116.972017,1285.7
POS,3.1,VRF_UUID:04eb4790-63e0-594a-b3d5-48862480b2d0,34.677619,-116.724526,1137.0
POS,3.1,VRF_UUID:05018a39-c6f1-0f4f-84f4-d9a42fadc3a2,34.682441,-116.723980,1136.4
POS,3.1,VRF_UUID:050957c3-b6d6-ff4d-be59-ade39c99659b,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:05120724-c8e3-0046-8e8d-ff5ff04512a4,34.389100,-116.693786,1134.6
POS,3.1,VRF_UUID:05628e48-516b-2749-b932-9a5fd413718a,34.371108,-116.438938,936.3
POS,3.1,VRF_UUID:0563a857-874b-cd4b-8950-69d871947dcc,34.679016,-116.724799,1137.1
POS,3.1,VRF_UUID:057f343f-4ba7-c248-b076-3936e6f4ac7b,34.400404,-116.859059,1434.3
POS,3.1,VRF_UUID:05b5714f-f30e-a345-b7c3-97be9b7c338f,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:063f5243-c536-964e-88a8-22d0426f3371,34.679016,-116.724799,1137.1
POS,3.1,VRF_UUID:0689777a-88d4-ae4b-8d05-af2d6bb4ce58,34.433308,-116.485146,942.6
POS,3.1,VRF_UUID:069703bf-b023-3d44-a483-aedac5eaaac0,34.681089,-116.724896,1137.1
POS,3.1,VRF_UUID:06ced9b4-c853-ad4b-8283-a23015c9483f,34.474716,-116.557455,877.8
POS,3.1,VRF_UUID:06f78c4f-c25e-6544-9c20-45bed1537ab2,34.681089,-116.724799,1137.0
POS,3.1,VRF_UUID:0718832c-043e-1743-963f-fa56a40199e7,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:0777fc37-d828-4f4b-b4a1-c136b5e6c3a6,34.406528,-116.474609,958.7
POS,3.1,VRF_UUID:078d85fd-abcf-6d45-909d-85606b71865c,34.676943,-116.724799,1137.3
POS,3.1,VRF_UUID:079a8c6a-ddf8-804c-828e-d88827c4fc72,34.683342,-116.725071,1137.0
POS,3.1,VRF_UUID:07cdadde-2415-da4b-bbdf-eb43397108c3,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:07d80ff5-6193-f45e-a7b5-32c36dcd8ed3,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:07f36514-c108-d548-9665-d86b1699c13f,34.676267,-116.725071,1137.5
POS,3.1,VRF_UUID:08154936-d2fc-b54b-80f7-1c59ed15a62a,34.271448,-116.447055,1093.0
POS,3.1,VRF_UUID:0818f57a-c5d5-e845-8486-43cda028034c,34.677168,-116.725071,1137.4
POS,3.1,VRF_UUID:082b642b-427e-374c-be31-c5067690a89a,34.678791,-116.725071,1137.3
POS,3.1,VRF_UUID:086becfc-b881-bc40-a448-4c5556bac4c0,34.679984,-116.725080,1137.2
POS,3.1,VRF_UUID:08794c71-1b63-b242-ada1-e472225e646d,34.677619,-116.724526,1137.0
POS,3.1,VRF_UUID:08b97740-0f56-bb4e-9465-a89de6cd43da,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:08c3e2d6-2db5-ff42-87e5-8385eb6b5050,34.677168,-116.725071,1137.4
POS,3.1,VRF_UUID:08d72aaf-e0ce-8643-9ddb-0e1bc90159e5,34.681089,-116.724749,1137.0
POS,3.1,VRF_UUID:08ef7531-d820-284b-8509-7af5a28958d1,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:08fa5dd0-fc73-0a4d-86f5-024caeb49acc,34.271673,-116.446783,1092.0
POS,3.1,VRF_UUID:092e9005-5f96-7f4b-b04d-4f523a132900,34.336835,-116.390984,876.0
POS,3.1,VRF_UUID:09996b9a-d10f-954f-840d-fb876a6c80ba,34.655751,-116.789865,1127.5
POS,3.1,VRF_UUID:09c9a7dd-144a-c44c-b744-4acec999f59a,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:09cf0353-6a2f-1649-921c-5a7df26427bc,34.270772,-116.446783,1094.0
POS,3.1,VRF_UUID:09da7141-360c-ac48-9417-4c87d719bb2c,34.681089,-116.724809,1137.0
POS,3.1,VRF_UUID:09f660d5-2c4a-ea4b-ab16-6ce3ba803132,34.370660,-116.513640,988.7
POS,3.1,VRF_UUID:0a223910-ea79-e143-8360-10d0a43622d5,34.424134,-116.535582,935.1
POS,3.1,VRF_UUID:0a6d52c1-428f-d545-9507-7929dd807416,34.679241,-116.724526,1136.9
POS,3.1,VRF_UUID:0a775b9b-231d-6a46-aa94-58293c199028,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:0ace361d-78a4-2d40-be68-261b64d4bbc0,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:0afd1ec1-6572-c74b-b626-2a35bb292925,34.433787,-116.972808,1286.5
POS,3.1,VRF_UUID:0b148e6a-41ba-3845-94b2-3bfecc9d7dac,34.676943,-116.724799,1137.3
POS,3.1,VRF_UUID:0b4347c0-f197-8c4d-982e-3ff679f319d5,34.322499,-116.566728,1111.1
POS,3.1,VRF_UUID:0b61dba5-4731-7b46-b909-a6eb32e89220,34.679241,-116.724526,1136.9
POS,3.1,VRF_UUID:0b69b596-4b63-d643-90a9-4ae61e7d13a7,34.350014,-116.569196,1039.7
POS,3.1,VRF_UUID:0b853572-f83b-5e40-a444-a8df042252b9,34.681089,-116.725000,1137.1
POS,3.1,VRF_UUID:0bf101ce-bb9b-7c45-bb85-61b7d1c837d5,34.474716,-116.557298,877.9
POS,3.1,VRF_UUID:0c001c52-bc39-044a-ae1a-2cbeb376d152,34.451210,-116.816439,1006.2
POS,3.1,VRF_UUID:0c34b363-9267-994f-99ae-4a8bf058796d,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:0c3c3811-a6d5-cc42-9b00-4d2d96b6b54b,34.409099,-116.336095,811.0
POS,3.1,VRF_UUID:0c3dba27-b2ef-8b4f-a482-9ccf607e2c98,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:0c6ac1d3-5e40-d94f-9759-6c7e9567aded,34.682892,-116.724799,1136.9
POS,3.1,VRF_UUID:0c6b11a7-3c1a-264b-8a21-ff94af242bcc,34.681089,-116.724896,1137.1
POS,3.1,VRF_UUID:0c96ad6f-86e7-cb4c-bd9c-013ff0c49985,34.681089,-116.724695,1136.9
POS,3.1,VRF_UUID:0cbbb023-89c8-fa45-94b1-1c028c245a72,34.414601,-116.327797,808.1
POS,3.1,VRF_UUID:0d1e608c-22bf-7044-afea-9a22cee290d6,34.682892,-116.725617,1137.4
POS,3.1,VRF_UUID:0d3114ae-5797-b745-99c1-11efd210c697,34.339088,-116.391359,876.2
POS,3.1,VRF_UUID:0d6585c8-ad83-a447-9cda-c4b4eb477fd0,34.678340,-116.724526,1137.0
POS,3.1,VRF_UUID:0d66b8f3-be43-684f-a5e6-df43dd673377,34.293922,-116.398949,955.0
POS,3.1,VRF_UUID:0d9e33ef-e594-ca4e-8cf6-cf55293e7409,34.531151,-116.954113,1055.5
POS,3.1,VRF_UUID:0db04b63-3ecd-a941-adcb-2a0f2356fad8,34.683342,-116.725071,1137.0
POS,3.1,VRF_UUID:0e0386f7-a504-bb41-8a2d-aa21d5407d17,34.505660,-116.501002,920.2
POS,3.1,VRF_UUID:0e070469-e86b-4040-b7dc-f66a0ebf2999,34.682892,-116.724799,1136.9
POS,3.1,VRF_UUID:0e4ef97c-bd20-2a41-8bd3-9b07dfda4e5b,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:0e542012-317b-3640-8689-1cd477f459d7,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:0e729af6-cce5-7b48-98ba-586cc60d71e8,34.676943,-116.724799,1137.3
POS,3.1,VRF_UUID:0ebd02e1-34d6-6243-8583-19610af21c5a,34.682892,-116.725617,1137.4
POS,3.1,VRF_UUID:0ecbe886-2be5-b141-a5e7-379b8f3132a9,34.681089,-116.724799,1137.0
POS,3.1,VRF_UUID:0f30e26b-10e9-fe4a-9698-49341addf2a2,34.410496,-116.335666,810.8
POS,3.1,VRF_UUID:0f808d97-287c-3c4c-9c1d-aa4f54b01c46,34.408375,-116.474337,957.8
POS,3.1,VRF_UUID:0ff843b6-a539-5d46-a382-d0a5287d6685,34.408198,-116.336095,810.8
POS,3.1,VRF_UUID:1038881d-46cf-2b46-8878-49faf28d4953,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:10595c88-128f-ed49-918b-c1e5601e9ffc,34.410496,-116.335720,810.9
POS,3.1,VRF_UUID:105ac374-594b-024c-bfe8-d0072c8f8cc3,34.678340,-116.724526,1137.0
POS,3.1,VRF_UUID:10680bfc-0c68-6143-b83c-57a0213ecb48,34.681089,-116.724809,1137.0
POS,3.1,VRF_UUID:107a9e73-4707-5249-b5d5-7256235423d7,34.274873,-116.446240,1083.9
POS,3.1,VRF_UUID:10a348d8-9f5b-e04d-9d63-bb0b72a1ce3d,34.676943,-116.724799,1137.3
POS,3.1,VRF_UUID:10adb9d8-6d5e-364e-86de-258ddb554260,34.683342,-116.725071,1137.0
POS,3.1,VRF_UUID:10c2dd41-2195-7b4a-9838-268769a7b49b,34.351118,-116.569196,1038.0
POS,3.1,VRF_UUID:1106493b-e18e-994a-9933-722cdcc6b984,34.416404,-116.327575,808.6
POS,3.1,VRF_UUID:11094320-9528-b848-9ef3-970f3bd656ee,34.677168,-116.725071,1137.4
POS,3.1,VRF_UUID:11315429-cb6b-4942-aa89-bc50c9b65ffa,34.431055,-116.485075,944.0
POS,3.1,VRF_UUID:1143ed51-a085-7242-91d6-da3100cc3b20,34.356840,-116.555346,1022.3
POS,3.1,VRF_UUID:11c182f3-501b-d840-aa4c-428ef4603c81,34.682892,-116.724526,1136.7
POS,3.1,VRF_UUID:11c6da23-9021-9545-9bcf-06a5bde1ee59,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:11c93565-4254-9a41-972e-6d452a28d181,34.341837,-116.597383,1053.6
POS,3.1,VRF_UUID:11de8b8e-a245-8d42-9741-7100ff5d2c0e,34.683342,-116.725071,1137.0
POS,3.1,VRF_UUID:122b30d1-304d-b94b-83b4-cca63e5bc5c6,34.451210,-116.816249,1006.1
POS,3.1,VRF_UUID:12694c82-786e-e442-ab36-e23a384df357,34.682441,-116.723980,1136.4
POS,3.1,VRF_UUID:126a7ddb-b13d-c144-8498-ab4069751e6a,34.491354,-116.823988,938.9
POS,3.1,VRF_UUID:12cd0951-f554-c653-815a-38df3786d8de,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:12efe08a-15bb-ef44-a2c5-0411aab9c10e,34.681089,-116.724809,1137.0
POS,3.1,VRF_UUID:13105393-3a80-a746-b2f9-8a883cb93d79,34.383174,-116.686232,1140.4
POS,3.1,VRF_UUID:1333b711-07b3-2f45-b172-a9b00279df40,34.681089,-116.724642,1136.9
POS,3.1,VRF_UUID:137944bf-9604-3844-9cb8-5771e8398f2f,34.335001,-116.515066,1023.2
POS,3.1,VRF_UUID:139d55d7-c27b-d242-ab26-ace190e0ce8a,34.679241,-116.724526,1136.9
POS,3.1,VRF_UUID:139eb7ef-94d0-974a-8a0c-f1df3b485e32,34.499757,-116.669901,932.3
POS,3.1,VRF_UUID:13fd3e38-426a-1d4c-afef-89d61a29a92b,34.408297,-116.782680,1223.0
POS,3.1,VRF_UUID:1405f61b-ea5d-5d4c-a725-295098787e73,34.489055,-116.823715,935.7
POS,3.1,VRF_UUID:1409ad3b-09ae-a24e-9c6e-fa25b4c617e3,34.502665,-116.669621,936.8
POS,3.1,VRF_UUID:1419f15b-9da8-c14b-9572-34496e667079,34.411800,-116.473521,956.4
POS,3.1,VRF_UUID:141b8ce8-7dca-3f4c-bf28-fc5c404b132a,34.676943,-116.724799,1137.3
POS,3.1,VRF_UUID:14206998-5142-df41-bd44-38066dcccf73,34.493427,-116.824189,941.8
POS,3.1,VRF_UUID:142fe5c0-19b2-8d48-8399-ef5c010bf2bc,34.431055,-116.484874,944.0
POS,3.1,VRF_UUID:144cfa6e-9941-b14f-8607-9f85137bcb99,34.265234,-116.644701,1663.0
POS,3.1,VRF_UUID:1490e6e8-f64a-534b-be09-7814db9155be,34.678791,-116.725071,1137.3
POS,3.1,VRF_UUID:149745fc-04fa-dd4c-9921-7ee6bf24552a,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:14b32082-5e31-bf4b-b4ad-b7369bf9f5b8,34.682441,-116.723980,1136.4
POS,3.1,VRF_UUID:14cee87c-8f3b-514f-abfc-edf4c4bedd71,34.425960,-116.701307,1027.5
POS,3.1,VRF_UUID:1540f396-002f-6842-b538-a209c68a8ddd,34.676267,-116.725071,1137.5
POS,3.1,VRF_UUID:158cc488-5fd0-1544-8223-2e50b32b37c6,34.368176,-116.458898,963.1
POS,3.1,VRF_UUID:159e6461-ce5f-6446-9f20-c0063757b31d,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:15e3cc27-e295-b746-8b4d-368cc6abc23e,34.457050,-116.517995,908.4
POS,3.1,VRF_UUID:15e93e48-dd6e-2343-ad31-d115ce51e588,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:15fbad1e-651c-2944-aefe-6490eb29513d,34.682892,-116.724526,1136.7
POS,3.1,VRF_UUID:1624918a-0743-2844-8570-84676a83787a,34.259060,-116.644429,1704.1
POS,3.1,VRF_UUID:1632583e-f0ed-1048-8381-0da3f61fc9b5,34.384571,-116.686058,1135.9
