checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2421422210 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3454 duration=300s sample=15s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 20:12:48.609 T:66444 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,3.1,VRF_UUID:00776296-faf1-aa4c-b04b-c87fc89a914f,34.431053,-116.484885,944.0
POS,3.1,VRF_UUID:0086a085-3d63-c95c-85c7-fdf0a82dd1f6,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:00946de9-7827-f84a-8845-1a77f62a28e7,34.474715,-116.557405,877.9
POS,3.1,VRF_UUID:00b7b252-98b7-e34b-ba76-54aa2417e55e,34.676272,-116.725071,1137.5
POS,3.1,VRF_UUID:00f49272-8e8e-ce4a-94b2-272e690d73ab,34.532499,-116.953200,1055.9
POS,3.1,VRF_UUID:0122070c-8246-1546-89eb-5937de6e3dd9,34.569216,-117.008586,1115.7
POS,3.1,VRF_UUID:012a55e7-f9f6-eb48-b091-6d6b45982993,34.681087,-116.725000,1137.1
POS,3.1,VRF_UUID:014fcdaf-6c77-614f-a4b3-ddf96aca8f0a,34.679692,-116.725071,1137.3
POS,3.1,VRF_UUID:015046c4-95d0-6541-a568-758c5bef95fd,34.327474,-116.377029,864.3
POS,3.1,VRF_UUID:01635b0c-68ef-324d-a133-17c83b6a421b,34.676272,-116.725071,1137.5
POS,3.1,VRF_UUID:016a6b33-42d5-ed44-8ce6-f037475a2f43,34.676272,-116.725071,1137.5
POS,3.1,VRF_UUID:016cb15b-705e-ed43-9620-53c6a9b2f1ee,34.678342,-116.724526,1137.0
POS,3.1,VRF_UUID:0191096c-6e40-2f42-bedd-febcd140d2f4,34.471249,-116.557183,874.8
POS,3.1,VRF_UUID:01a4e701-fcc5-e740-bcff-9da58879d791,34.295386,-116.481632,1099.6
POS,3.1,VRF_UUID:01bbfa50-f67b-df44-a6fe-e5a876396e9e,34.678342,-116.724526,1137.0
POS,3.1,VRF_UUID:01cf80ae-3c3d-8e44-b3db-3a78e93aa94e,34.432853,-116.485689,942.7
POS,3.1,VRF_UUID:020a0c49-cd44-8247-8b89-6370b7b50b3d,34.681087,-116.725000,1137.1
POS,3.1,VRF_UUID:023974bd-b2a9-4546-ba82-87297ce901fc,34.426703,-116.701579,1025.4
POS,3.1,VRF_UUID:0246ddd1-cbf3-874e-9a7c-2e8b3b173508,34.411921,-116.340635,816.6
POS,3.1,VRF_UUID:02560a7b-dca4-f640-9ec2-95f70c25b68f,34.681087,-116.724642,1136.9
POS,3.1,VRF_UUID:02609bcd-d1a5-f448-a6ab-579e6496a704,34.681087,-116.725000,1137.1
POS,3.1,VRF_UUID:026b7c65-be7e-6950-a63a-c7e0f6843ada,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:029205b1-2fdd-b34c-a00c-7d78c56c65de,34.682888,-116.724799,1136.9
POS,3.1,VRF_UUID:02b517cd-4163-4945-b83c-41b6ba6509fb,34.679984,-116.724534,1136.9
POS,3.1,VRF_UUID:02eb2af9-291c-3443-8e78-931ea91ddabb,34.679242,-116.724526,1136.9
POS,3.1,VRF_UUID:030ce99f-94af-604d-8918-c5ce4f8114da,34.409392,-116.335823,810.8
POS,3.1,VRF_UUID:0383a487-6ded-1245-97c1-5a913dff9291,34.682888,-116.724799,1136.9
POS,3.1,VRF_UUID:0388bf88-dcd7-4f40-971a-54db4d565333,34.677622,-116.724526,1137.0
POS,3.1,VRF_UUID:0389ab9a-e338-7e49-8549-d3470d9659aa,34.531149,-116.954217,1055.6
POS,3.1,VRF_UUID:03a32ce6-1ff0-8042-b505-ceb07285cda0,34.471482,-116.651629,875.7
POS,3.1,VRF_UUID:040639aa-ec26-c440-b5c9-dafa360c8df0,34.676947,-116.724799,1137.3
POS,3.1,VRF_UUID:0415e87b-d8f8-8c4f-9796-987e8e5ff4dc,34.679242,-116.724526,1136.9
POS,3.1,VRF_UUID:043a3363-c720-3145-8bae-8fb108b8e0a6,34.336833,-116.391288,876.5
POS,3.1,VRF_UUID:045c279f-fc0f-234b-81cd-9f8905431acb,34.678792,-116.725071,1137.3
POS,3.1,VRF_UUID:0465fa36-8893-2f46-a5d8-675c6bcbbcab,34.681087,-116.724642,1136.9
POS,3.1,VRF_UUID:047f87f1-7fb1-a442-900d-8099af4c942f,34.370659,-116.513630,988.7
POS,3.1,VRF_UUID:049dab16-6396-1642-aa36-f39eae4cc457,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:04f78566-ffab-2c46-90f2-893b76ac283e,34.431053,-116.485075,944.0
POS,3.1,VRF_UUID:051636d5-0e52-db4b-81d4-c854d0dd4bc7,34.681087,-116.724809,1137.0
POS,3.1,VRF_UUID:051bac8f-5341-3c4d-9010-60ce549d1da9,34.682438,-116.723981,1136.4
POS,3.1,VRF_UUID:0560d42e-7ff0-2946-a70b-8290d94fe950,34.352917,-116.568925,1035.2
POS,3.1,VRF_UUID:05711781-d00b-544b-8311-4f68fa3194f4,34.683338,-116.725071,1137.0
POS,3.1,VRF_UUID:064dae96-db4d-d24d-9a2a-1c082026ec27,34.569210,-117.006987,1116.9
POS,3.1,VRF_UUID:0670d7b0-92ba-e94b-8711-0e3b58c9b342,34.682888,-116.724799,1136.9
POS,3.1,VRF_UUID:06809268-d96c-e34e-8891-5bd27ba8226d,34.681087,-116.724896,1137.1
POS,3.1,VRF_UUID:06d33813-296d-8e4c-9c78-1a2e50689df9,34.681087,-116.724896,1137.1
POS,3.1,VRF_UUID:06fa28cf-e8f0-1c47-b744-d28f11ecff8d,34.681087,-116.724799,1137.0
POS,3.1,VRF_UUID:070058cd-b287-e24f-b5fc-9f0141d9c493,34.424341,-116.701308,1032.7
POS,3.1,VRF_UUID:07076462-d7de-3d44-9205-cecf41ba6be1,34.325629,-116.376861,866.9
POS,3.1,VRF_UUID:073beb96-4cb5-1544-823b-6f0d1133eed9,34.682888,-116.724526,1136.7
POS,3.1,VRF_UUID:07489575-6d22-aa48-a8a6-8e2793cea3b8,34.678342,-116.724526,1137.0
POS,3.1,VRF_UUID:0754951e-f418-f84f-9270-b700af577a68,34.683338,-116.725071,1137.0
POS,3.1,VRF_UUID:078da824-0d03-f340-b62e-045c9389962c,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:0793e4d2-f99e-e740-a1f4-872c70843f30,34.425482,-116.534924,933.7
POS,3.1,VRF_UUID:07a6646d-daac-534d-b982-beac88faf7c2,34.679985,-116.724799,1137.1
POS,3.1,VRF_UUID:07b078e2-0a2c-ab46-8269-496e36239b92,34.338183,-116.390273,874.7
POS,3.1,VRF_UUID:07d80ff5-6193-f45e-a7b5-32c36dcd8ed3,90.000000,-90.000000,0.0
POS,3.1,VRF_UUID:07ed85a9-2d09-3f41-bcfa-50d7bc05fbba,34.507734,-116.501546,920.5
POS,3.1,VRF_UUID:07ff7ea0-eae8-1e44-8daa-52ee25bf4af8,34.262327,-116.644701,1683.0
POS,3.1,VRF_UUID:080d242f-541a-ca40-abe3-b2aed64ae71b,34.367193,-116.513358,991.7
POS,3.1,VRF_UUID:0818eaba-025e-c94e-af86-11507a226bb4,34.679242,-116.724526,1136.9
POS,3.1,VRF_UUID:084a502e-5d54-8e4a-9dd5-8eb157ec0d08,34.681087,-116.724749,1137.0
POS,3.1,VRF_UUID:087c2104-eb6f-7e41-8765-550420f42538,34.265230,-116.644430,1661.6
POS,3.1,VRF_UUID:08a919bf-649e-4940-a8f7-91b2db36141e,34.677172,-116.725071,1137.4
