unit,lat,lon,leader,run
1-1/2/1_AD,34.662425,-116.746154,M1A2 23,20260907T150643Z_run
1-35/2/1_A,34.658442,-116.740092,M1A2 1,20260907T150643Z_run
1-6/2/1_AD,34.662498,-116.732644,M1A2 19,20260907T150643Z_run
4-27/2/1_A,34.667649,-116.724799,M1A2 3,20260907T150643Z_run
40/2/1_AD,34.665774,-116.710053,M1A2 21,20260907T150643Z_run
5-20/2/1_A,34.697952,-116.716953,M1A2 31,20260907T150643Z_run
856/HHC,34.662483,-116.716680,M1A2 27,20260907T150643Z_run
A/6-56/HHC,34.683261,-116.701934,SAM 1,20260907T150643Z_run
B/5-20,34.692787,-116.724526,M1A2 33,20260907T150643Z_run
C/1-35,34.658442,-116.709505,M1A2 37,20260907T150643Z_run
